text,url
I'm just feeling unstoppable right now.,twitter.com/anyuser/status/717176073742524417
"@Gerrit__M @DunlapTucker Derrick Rose, Joey Dorsey, where are my $5? @A_dubbs98 is witness  https://t.co/Uwo2WM6372",twitter.com/anyuser/status/717176073616625667
"thanked god, my boss still remain composed and calm after i told her abt my crashed thumb drive",twitter.com/anyuser/status/717176074484846593
"Katy Perry: I hear your heart beat to the beat of the drum 

Me: [listening to dragonforce] call an ambulance",twitter.com/anyuser/status/717176074292097025
Got to the bar just in time for the second half tip-off. What'd I miss?,twitter.com/anyuser/status/717176074589888514
"ADVICE. Grass Fire. Bathurst (750 /Red Hill Rd, Paling Yards, NSW 2795) at 5 Apr 2016 11:50 https://t.co/eZ1btQoYic #NSWRFS #GrassFire",twitter.com/anyuser/status/717176074652819456
@bridirnbeck lmao it's 2x the crazy,twitter.com/anyuser/status/717176073549647872
@katlynehamilton @AlexYost13 it's alexandria,twitter.com/anyuser/status/717176074828812288
CB..don't judge me rn,twitter.com/anyuser/status/717176074774269952
Mindfulness Training May Ease PTSD https://t.co/yfQLXg7Add,twitter.com/anyuser/status/717176074740887553
@hillbillyfairy Are you Bernie or Bust as in that's the only candidate you'll vote for?,twitter.com/anyuser/status/717176074602295297
@KFANPST @CommonManKFAN @BMileskiKFAN shut it down https://t.co/Lax9OVt4LU,twitter.com/anyuser/status/717176074677792769
out here,twitter.com/anyuser/status/717176074560405504
@freemypop___ fuck Donald trump lol,twitter.com/anyuser/status/717176075122515969
Carlee since when am I a freshman  https://t.co/qLHd9nP4PT,twitter.com/anyuser/status/717176075521015808
I play sad music when I'm really sad and it just makes it worse why am I so dumb.,twitter.com/anyuser/status/717176075923668993
Love songs make me wanna puke,twitter.com/anyuser/status/717176076170989570
Dayum I can't wait until I see GTA again,twitter.com/anyuser/status/717176075474702336
Her feet are pretty bad lol https://t.co/D1OrPijZMl,twitter.com/anyuser/status/717176076259225600
@SydneyMarieHerm hahaha I was actually proud of those,twitter.com/anyuser/status/717176075843817472
"Other. Greater Taree (Pacific Hwy, Rainbow Flat, NSW 2430) at 5 Apr 2016 12:11 https://t.co/eZ1btQ7mTC #NSWRFS #Other #NSWFires",twitter.com/anyuser/status/717176076372287488
@AsNr80 They still here for the college basketball championship lol,twitter.com/anyuser/status/717176076296785924
"Fire Alarm. Wyong (2 Pearce Rd, Kanwal,  2259) at 5 Apr 2016 12:11 https://t.co/eZ1btQ7mTC #NSWRFS #FireAlarm",twitter.com/anyuser/status/717176076376485890
it'd be gr8 if I could stop stressing over the littlest thing,twitter.com/anyuser/status/717176076623982592
hello,twitter.com/anyuser/status/717176076112240641
Heidi Cruz thinks that her husband is a REAL MAN OF THE REPUBLICAN PARTY! ARE YOU KIDDING ME? HE'S A FAKE BIBLE HOLDING CHRISTIAN POLITICIAN,twitter.com/anyuser/status/717176076930252800
@carlikun IDK man gotta tag you @orenji_ wwwww,twitter.com/anyuser/status/717176075957080064
you cant get diseases from a bird!!!,twitter.com/anyuser/status/717176077014188032
"Bush Fire. Campbelltown (Riverside Dr, Airds, NSW 2560) at 5 Apr 2016 12:23 https://t.co/eZ1btQ7mTC #BushFire #NSWFires",twitter.com/anyuser/status/717176076984668160
Check out this trigger: if $WBA earnings per share is above $1.28 - tomorrow at 7 am bright and early!,twitter.com/anyuser/status/717176077832028160
war pigs | black sabbath,twitter.com/anyuser/status/717176077555077120
"@greta did a great job. Information for thought, NOT confussion for fights. Thank you",twitter.com/anyuser/status/717176077777371136
I miss you,twitter.com/anyuser/status/717176077559291904
every song!  https://t.co/2Yf3zu8oJ7,twitter.com/anyuser/status/717176078167621632
"12th Doctor who Egg Head Caricature art Laptop Skin 
https://t.co/6HlaRfdzH3",twitter.com/anyuser/status/717176078331043840
Fixing ur eyeliner 13 times https://t.co/8YRRlyXWo5,twitter.com/anyuser/status/717176074673774593
@LindseyySnyder when we tweet at the same time #best #friend #goals,twitter.com/anyuser/status/717176078436024321
"https://t.co/0SiWzxNjye
2 DIE 4/5
YOUNG
WELL BEHAVED
GENTLE
FRIENDLY
#RESCUE
#FOSTER 4 FREE
HELPDOGS@URGENTPODR.ORG https://t.co/bNZNaahHWr",twitter.com/anyuser/status/717176077697880064
@nathan_Lsmith we did it! https://t.co/KnmRU4z982,twitter.com/anyuser/status/717176078196981760
Tired of seeing shitty hair.,twitter.com/anyuser/status/717176078544949248
@jimmyflann @EricYounglove @TeamJackBaker I DON'T KNOW WHAT THIS MEANS BUT IT MADE ME LAUGH SO HARD,twitter.com/anyuser/status/717176078775746560
Ms Giaya might be single-handedly ruining students college aspirations,twitter.com/anyuser/status/717176078540922880
@relativetoyou Also it's a lot different from the C++ hack job approach of just jamming everything into the poor type system.,twitter.com/anyuser/status/717176078628839425
"ladies, which do you prefer in your men?",twitter.com/anyuser/status/717176080226983937
Billy dancing in a three piece suit is everything to me rn,twitter.com/anyuser/status/717176080512245764
@ASMAutoUpholst Oh bless you! #MisfitGarage,twitter.com/anyuser/status/717176080524771329
Crack rock is the best song on this album and you cannot argue with me  https://t.co/UtlwkhPR0Z,twitter.com/anyuser/status/717176080843608064
@TexturedPaper @lupercaleb Sweet! Thank you so much! I'll let you know. :3,twitter.com/anyuser/status/717176080826834952
@marchmadness commentators and the @NBAonTNT media are bias for the @GoHeels. Why not @NovaAthletics STREAM? @marchmadness = Athleticists,twitter.com/anyuser/status/717176080453373952
"Your bio has me dying, love it. But I miss you lots you're still a close friend to me. Love you tennis nerd",twitter.com/anyuser/status/717176080788955138
Pretty excited for some POV action! #GoPro #HardcoreFan https://t.co/0sq7G4ap7L,twitter.com/anyuser/status/717176078603673600
Dodgers with the shutout! #Shmooooke,twitter.com/anyuser/status/717176080998596609
I'm really get so emotional over dumb shit,twitter.com/anyuser/status/717176081590169600
Message me I'm bored,twitter.com/anyuser/status/717176080713404417
"@LaurenBenda you find the goggles, I'll supply the pug https://t.co/Bpu6vLEAr2",twitter.com/anyuser/status/717176080801595394
keep sending me emojis .,twitter.com/anyuser/status/717176081757913088
High but drunk gets me turnt  https://t.co/QMxkk8Gh0T,twitter.com/anyuser/status/717176081820884993
@makayla_mcminn @charwarner3 @josalerno8 wow im ugly,twitter.com/anyuser/status/717176081481089024
@St8edge4life88 so once again 2k16 is outdated cause wwe didn't want us to remove the mask,twitter.com/anyuser/status/717176081736830976
"This is for my niggas outside all winter, cuz this summer they ain't finna say,
 ""next summer I'm finna""",twitter.com/anyuser/status/717176081967685632
"VMware #IT #Job: Senior Member of Technical Staff (#Pune, Maharashtra) https://t.co/6b9vKWAWX1 #Jobs #Hiring",twitter.com/anyuser/status/717176081472565248
@Tracos57 @SportsCenter I'm kidddinggggg... I love baseball!,twitter.com/anyuser/status/717176081426440192
Cover of Idina doing Burn please?,twitter.com/anyuser/status/717176080226844674
I'm sayin huh? https://t.co/RHDDKXb0ar,twitter.com/anyuser/status/717176081778737153
I really need a back massage,twitter.com/anyuser/status/717176081963360256
everyday of my life is so terrible and I'm sick of it,twitter.com/anyuser/status/717176082185764864
@ArgentinaDead a daryl o gleen,twitter.com/anyuser/status/717176082265407488
Bro say it again !!  https://t.co/ioWwpTgeSM,twitter.com/anyuser/status/717176081803915265
@Hcossarini_ I miss u,twitter.com/anyuser/status/717176082408083460
From April 8th onwards https://t.co/9dYH4LG7cH,twitter.com/anyuser/status/717176080499486720
@ripley720 I can see why some people might be disappointed in the ending but I figured it was going that route. Suspense until October.,twitter.com/anyuser/status/717176082521321472
I just created the perfect tuxedo look with Create My Look: https://t.co/zc6uxa8xE4 #MWTuxedo via @MWTuxedo,twitter.com/anyuser/status/717176082248564736
"me: *gets over being sick*
me: *gets sick again*",twitter.com/anyuser/status/717176082399498240
This is hilarious. https://t.co/BqGygThrei,twitter.com/anyuser/status/717176082311450624
@michellevisage GO TO HELL,twitter.com/anyuser/status/717176083003473920
@spencer0219_ u always slap me when I try this  https://t.co/FY2iR2M2Ur,twitter.com/anyuser/status/717176082731036672
"The #TBLightning were dismantled by the Islanders. Hopefully, tomorrow night will be a different story. RECAP: https://t.co/Etd4n44pdO",twitter.com/anyuser/status/717176083959955456
Wind is either crucial or deadly,twitter.com/anyuser/status/717176084370956288
@ZephyraQ @cherylpostlethw @CheslicKandy I have never made Luv in Mi life I prefer to fuck but to each His own!.,twitter.com/anyuser/status/717176084026929152
@FreshToDeath_21 yeah ik smh I hadda move for work,twitter.com/anyuser/status/717176085113339904
They sent me home bc I wasn't dilating. If my contractions get any stronger I am coming back.,twitter.com/anyuser/status/717176085037776897
Bro Ben Carson wife really look like roadkill https://t.co/AjzE0yA5b1,twitter.com/anyuser/status/717176084756824064
"Bernie Sanders, Hillary Clinton finally agree on New York debate https://t.co/iJc5ojYrQX  https://t.co/XSs5Z639jU",twitter.com/anyuser/status/717176085155356672
Pinned. https://t.co/vP7NKu1lyG,twitter.com/anyuser/status/717176085092237312
Oh ok https://t.co/7NDjqv10xL,twitter.com/anyuser/status/717176083859300352
Just thought I'd throw these out there https://t.co/TzbtdUvaLZ,twitter.com/anyuser/status/717176083905286144
@_____kjc_____ my man be telling me he hate it to but oh well I just want to hoop to be honest,twitter.com/anyuser/status/717176085708980224
My boyfriend is such a pussy like tf,twitter.com/anyuser/status/717176085692153856
I haven't seen you in a long minute,twitter.com/anyuser/status/717176085486526464
