text,url
I probably  will see John Cena before I get a girl,twitter.com/anyuser/status/717203019272728576
I'm picking Nova to take the #NationalChampionship! #NovaNation @MarchMadness https://t.co/iPmobF24gi,twitter.com/anyuser/status/717203021474709504
Keep making yourself look stupid bby girl. We all get a good laugh out of it,twitter.com/anyuser/status/717203021680214016
Thinkin bout them old days when I was countin nothin,twitter.com/anyuser/status/717203021734756352
@WalshFreedom @rolandsmartin I smell a bromance here but Roland isn't playing well with others,twitter.com/anyuser/status/717203022166757376
"@jsmith72413 @nickbaumgardner Oh, I know Jordan could care less (he was matter of fact after the shot) I just want to see some funny stuff",twitter.com/anyuser/status/717203021772546048
@PrestenManthey_ how much,twitter.com/anyuser/status/717203021290192896
basically  https://t.co/RVi6aEm9pK,twitter.com/anyuser/status/717203021940310017
damn the rain for making me remember all the pain of losing everything,twitter.com/anyuser/status/717203022435192832
11:11 for oomf to stop being so stubborn and give me their shirt :-),twitter.com/anyuser/status/717203023227969537
@Rizalyoung11 oke salken tu,twitter.com/anyuser/status/717203022997225473
Why is it that conversations are the best at night. When I should instead be sleeping,twitter.com/anyuser/status/717203023563460608
RIGHT. Idc what anyone says I'm enjoying this either way https://t.co/yO0Ce2bbfW,twitter.com/anyuser/status/717203023014006784
@KaiSeggar what can I say I'm bad to the bone,twitter.com/anyuser/status/717203023601254401
I have a women crush on kendall jenner,twitter.com/anyuser/status/717203023748067328
The fuck the Eagles celebrating for like they brought a fucking super bowl back to Philly yet?,twitter.com/anyuser/status/717203024079417344
A block away! THE #MOOG FACTORY! @ Moog Music Factory https://t.co/nBUkVAxaZU,twitter.com/anyuser/status/717203024259727360
11:11 meet justin bieber,twitter.com/anyuser/status/717203024251379713
@CourtneyHans_ i need to see court too.. maybe sometime this week?,twitter.com/anyuser/status/717203024729530368
@asmcphilimy and you thought I was going in the ocean this trip...  https://t.co/2UJfxTbuPe,twitter.com/anyuser/status/717203024607854592
"in other words just say you'd rather be friends, don't just lead me on",twitter.com/anyuser/status/717203025090244608
Ends up eating bread. Sad.,twitter.com/anyuser/status/717203025291509762
"@docdirector_g congratulations doc! Silent spectator and fan here! God bless you more! 

#ALDUBTheOrientation",twitter.com/anyuser/status/717203024591134720
thankful for everything / everyone in my life,twitter.com/anyuser/status/717203025199116288
11:11 music,twitter.com/anyuser/status/717203025266401281
11:11 districts on wednesday,twitter.com/anyuser/status/717203025606144000
Phil Booth=Harold Jensen,twitter.com/anyuser/status/717203025811677184
Nobody is faithful so don't expect these Niggas to be,twitter.com/anyuser/status/717203025685843968
"When I get my taxes back, I'm getting me and my lil sis VIP tickets to @justinbieber  :)))",twitter.com/anyuser/status/717203025270583297
Girl i just wanna be the one to do u right,twitter.com/anyuser/status/717203025979445254
Gonna upload another DIY acapella before bed.,twitter.com/anyuser/status/717203026147090432
Someone tell Jay Bruce how much I love him. I defend him so much it's exhausting. But it is my life mission and that's fine. JB4EVA,twitter.com/anyuser/status/717203017427193857
@carolyntella peeping at ur twit pic,twitter.com/anyuser/status/717203025962659840
They'll be my friends and the next day they talking shit about me,twitter.com/anyuser/status/717203026273026048
Because she didn't give head but wanted head https://t.co/S2p1DgSoga,twitter.com/anyuser/status/717203025824256000
I'm too proud to ask for favors but I'm forever grateful if you hold me down,twitter.com/anyuser/status/717203026931482625
CAN SOMEONE PLEASE OH MY GOSH THIS IS THE CUTEST THING EVER https://t.co/WjoYqBL5PF,twitter.com/anyuser/status/717203025694212096
"I was high when I met her, we was down in TriBeCa",twitter.com/anyuser/status/717203026705047553
Trump Spokeswoman Katrina Pierson Is Stirring Up Drama on a Reality TV Series https://t.co/QhYI5spX9w via @thedailybeast,twitter.com/anyuser/status/717203026633744384
make a wish,twitter.com/anyuser/status/717203027074162688
"RT ""@mckenziekeneavy I got denied from ci and my dog died in the same night, I don't know which ones worse"" ....... ok keely""",twitter.com/anyuser/status/717203027216703488
@JJWatt said it best... Moments like that are what makes sports so great. Jenkins may never have a bigger moment in his athletic career. Wow,twitter.com/anyuser/status/717203026965110785
"I love natural connections, natural vibes...nothing forced is ever worth while.",twitter.com/anyuser/status/717203027304792064
history and englishh class zzzzz. https://t.co/2c3LiLdfLn,twitter.com/anyuser/status/717203026755395586
"""We weren't ready for the check""",twitter.com/anyuser/status/717203027535536128
Go follow @FPS_Competitive let's make this happen,twitter.com/anyuser/status/717203028156219395
I've finally stopped wishing for you at 11:11,twitter.com/anyuser/status/717203028030447616
@planttss @nattyfattyy of course! my pleasure ;),twitter.com/anyuser/status/717203028076535810
N FUCK YOU HUNTER SHIRLEY I FUCKIN HATE YOU!!!!!!!!!!!!,twitter.com/anyuser/status/717203028407877632
@corporatespend nice work on the podcasts,twitter.com/anyuser/status/717203027371884544
Sucks when someone you wanted to be good friends w turns out to be a lil bitch :-(,twitter.com/anyuser/status/717203029645266944
@elenamarie__x3 thanks soo much sugar ily,twitter.com/anyuser/status/717203029200646144
@_bryvvnA1 when is it due lol,twitter.com/anyuser/status/717203029477441537
@lonewolfmarah some drunk dude walked by us and pushed some of my peoples trying to be funny and shit got real.....,twitter.com/anyuser/status/717203029615845378
I don't really get the concept of it... https://t.co/IP4t810R63,twitter.com/anyuser/status/717203029460647938
But we be Devils sometimes but we worth it,twitter.com/anyuser/status/717203029754249216
"@BelkinCares Thanks, already have.  How about this one?  BP106000",twitter.com/anyuser/status/717203029599064064
@KMarieBlock @PoeShannon apparently,twitter.com/anyuser/status/717203028558929921
Crabless tramp on spring break. #BestWeekendIn5Words @midnight,twitter.com/anyuser/status/717203030509281281
"@MichaelWatsonMS If by ""roasted"" you meant fouled, yes.  That would make more sense.",twitter.com/anyuser/status/717203030396022786
@TheMykaela but in general your post was that of ignorant in my opinion.. Not sure what your relationship is with dooms but he &amp; the females,twitter.com/anyuser/status/717203030614151168
Nova has won half of your season wins just in this tourney  https://t.co/3w0ObSLedy,twitter.com/anyuser/status/717203030710554625
@leskijacksonn tru love,twitter.com/anyuser/status/717203031109058567
@DapperPea im so confused,twitter.com/anyuser/status/717203031310241792
There are no words to describe how unbelievably proud I am of my guys for all they did wearing that North Carolina jersey.,twitter.com/anyuser/status/717203031595610112
@HistoryTime_ Nothing from Australia or NZ?,twitter.com/anyuser/status/717203031872421893
@UmarHSoaries @dcrosthwait @YouTube and I thought about this $353K earlier and apparently someone else did too:  https://t.co/tWMQexFsax,twitter.com/anyuser/status/717203031843012609
@TravissKid33 yeah same,twitter.com/anyuser/status/717203032178614273
@KirstenPaulus @0HannahRushing0 @AntoineGalaxy I'll make sure to send my business card after I graduate Med school,twitter.com/anyuser/status/717203032417501184
ok cool just fuck me up,twitter.com/anyuser/status/717203032639979522
